,調査年,地域,F110801_非労働力人口（男）【人】,F110802_非労働力人口（女）【人】
940,1995,三重県,153712.0,400343.0
941,1995,京都府,235907.0,596554.0
942,1995,佐賀県,77280.0,187088.0
943,1995,兵庫県,445861.0,1305572.0
944,1995,北海道,505210.0,1324600.0
945,1995,千葉県,470623.0,1253781.0
946,1995,和歌山県,94418.0,262624.0
947,1995,埼玉県,516994.0,1435866.0
948,1995,大分県,115787.0,286440.0
949,1995,大阪府,704868.0,2043146.0
950,1995,奈良県,125613.0,370926.0
951,1995,宮城県,205361.0,507914.0
952,1995,宮崎県,107599.0,247199.0
953,1995,富山県,92812.0,226391.0
954,1995,山口県,142078.0,356328.0
955,1995,山形県,110573.0,261737.0
956,1995,山梨県,71659.0,184581.0
957,1995,岐阜県,167171.0,435383.0
958,1995,岡山県,168274.0,430987.0
959,1995,岩手県,117887.0,289039.0
960,1995,島根県,67782.0,159961.0
961,1995,広島県,247136.0,626896.0
962,1995,徳島県,80446.0,190932.0
963,1995,愛媛県,138042.0,351167.0
964,1995,愛知県,516670.0,1379633.0
965,1995,新潟県,213784.0,510715.0
966,1995,東京都,938567.0,2494373.0
967,1995,栃木県,158474.0,401176.0
968,1995,沖縄県,109201.0,273573.0
969,1995,滋賀県,101878.0,276326.0
970,1995,熊本県,185373.0,411776.0
971,1995,石川県,102653.0,233132.0
972,1995,神奈川県,662396.0,1817601.0
973,1995,福井県,66389.0,156307.0
974,1995,福岡県,473743.0,1149617.0
975,1995,福島県,183678.0,439330.0
976,1995,秋田県,112432.0,280963.0
977,1995,群馬県,159612.0,421093.0
978,1995,茨城県,240688.0,627951.0
979,1995,長崎県,146474.0,361228.0
980,1995,長野県,163026.0,425082.0
981,1995,青森県,127105.0,324218.0
982,1995,静岡県,274562.0,725513.0
983,1995,香川県,89740.0,225132.0
984,1995,高知県,78557.0,177927.0
985,1995,鳥取県,52091.0,119555.0
986,1995,鹿児島県,170108.0,423127.0
987,1996,三重県,,
988,1996,京都府,,
989,1996,佐賀県,,
990,1996,兵庫県,,
991,1996,北海道,,
992,1996,千葉県,,
993,1996,和歌山県,,
994,1996,埼玉県,,
